latitude,longitude,altitude(m) 
42.43819116,-76.46813433,2
42.43819425,-76.4681265,2
42.43819733,-76.46811867,2
42.43820041,-76.46811084,2
42.4382035,-76.46810301,2
42.43820658,-76.46809517,2
42.43820966,-76.46808734,2
42.43821275,-76.46807951,2
42.43821583,-76.46807168,2
42.43821891,-76.46806385,2
42.438222,-76.46805601,2
42.43822508,-76.46804818,2
42.43822816,-76.46804035,2
42.43823125,-76.46803252,2
42.43823433,-76.46802469,2
42.43823741,-76.46801686,2
42.4382405,-76.46800902,2
42.43824358,-76.46800119,2
42.43824666,-76.46799336,2
42.43824975,-76.46798553,2
42.43825283,-76.4679777,2
42.43825591,-76.46796987,2
42.438259,-76.46796203,2
42.43826208,-76.4679542,2
42.43825476,-76.46794895,2
42.43825167,-76.46795678,2
42.43824859,-76.46796461,2
42.43824551,-76.46797244,2
42.43824242,-76.46798027,2
42.43823934,-76.46798811,2
42.43823626,-76.46799594,2
42.43823317,-76.46800377,2
42.43823009,-76.4680116,2
42.43822701,-76.46801943,2
42.43822392,-76.46802726,2
42.43822084,-76.4680351,2
42.43821776,-76.46804293,2
42.43821467,-76.46805076,2
42.43821159,-76.46805859,2
42.43820851,-76.46806642,2
42.43820542,-76.46807425,2
42.43820234,-76.46808209,2
42.43819926,-76.46808992,2
42.43819617,-76.46809775,2
42.43819309,-76.46810558,2
42.43819001,-76.46811341,2
42.43818692,-76.46812125,2
42.43818384,-76.46812908,2
42.43817652,-76.46812382,2
42.4381796,-76.46811599,2
42.43818268,-76.46810816,2
42.43818577,-76.46810033,2
42.43818885,-76.46809249,2
42.43819193,-76.46808466,2
42.43819502,-76.46807683,2
42.4381981,-76.468069,2
42.43820118,-76.46806117,2
42.43820427,-76.46805334,2
42.43820735,-76.4680455,2
42.43821043,-76.46803767,2
42.43821351,-76.46802984,2
42.4382166,-76.46802201,2
42.43821968,-76.46801418,2
42.43822276,-76.46800635,2
42.43822585,-76.46799851,2
42.43822893,-76.46799068,2
42.43823201,-76.46798285,2
42.4382351,-76.46797502,2
42.43823818,-76.46796719,2
42.43824126,-76.46795935,2
42.43824435,-76.46795152,2
42.43824743,-76.46794369,2
42.43824011,-76.46793844,2
42.43823702,-76.46794627,2
42.43823394,-76.4679541,2
42.43823086,-76.46796193,2
42.43822777,-76.46796976,2
42.43822469,-76.46797759,2
42.43822161,-76.46798543,2
42.43821852,-76.46799326,2
42.43821544,-76.46800109,2
42.43821236,-76.46800892,2
42.43820927,-76.46801675,2
42.43820619,-76.46802459,2
42.43820311,-76.46803242,2
42.43820002,-76.46804025,2
42.43819694,-76.46804808,2
42.43819386,-76.46805591,2
42.43819077,-76.46806374,2
42.43818769,-76.46807158,2
42.43818461,-76.46807941,2
42.43818152,-76.46808724,2
42.43817844,-76.46809507,2
42.43817536,-76.4681029,2
42.43817227,-76.46811073,2
42.43816919,-76.46811857,2
42.43816187,-76.46811331,2
42.43816495,-76.46810548,2
42.43816803,-76.46809765,2
42.43817112,-76.46808982,2
42.4381742,-76.46808198,2
42.43817728,-76.46807415,2
42.43818037,-76.46806632,2
42.43818345,-76.46805849,2
42.43818653,-76.46805066,2
42.43818962,-76.46804283,2
42.4381927,-76.46803499,2
42.43819578,-76.46802716,2
42.43819887,-76.46801933,2
42.43820195,-76.4680115,2
42.43820503,-76.46800367,2
42.43820812,-76.46799583,2
42.4382112,-76.467988,2
42.43821428,-76.46798017,2
42.43821737,-76.46797234,2
42.43822045,-76.46796451,2
42.43822353,-76.46795668,2
42.43822662,-76.46794884,2
42.4382297,-76.46794101,2
42.43823278,-76.46793318,2
